matchNumber,mat,phase,categoryName,categoryGender,categorySubCategory,blueOvrId,redOvrId,videoQuota,matchVictoryCriteria,nextMatchNumber,nextMatchColor
M_SUB21_P6_01,3,SF,SUB-21 -49 kg,MALE,P6,ATHM0036,ATHM0034,1,BESTOF3,M_SUB21_P6_02,RED
M_SUB21_P6_02,3,F,SUB-21 -49 kg,MALE,P6,ATHM0035,,1,BESTOF3,,
M_SUB21_P10_01,3,F,SUB-21 -57 kg,MALE,P10,ATHM0038,ATHM0039,1,BESTOF3,,
F_SUB21_P1_01,3,SF,SUB-21 -68 kg,FEMALE,P1,ATHF0042,ATHF0040,1,BESTOF3,F_SUB21_P1_02,RED
F_SUB21_P1_02,3,F,SUB-21 -68 kg,FEMALE,P1,ATHF0041,,1,BESTOF3,,
F_SUB21_P3_01,1,SF,SUB-21 -80 kg,FEMALE,P3,ATHF0046,ATHF0044,1,BESTOF3,F_SUB21_P3_02,RED
F_SUB21_P3_02,1,F,SUB-21 -80 kg,FEMALE,P3,ATHF0045,,1,BESTOF3,,
F_SUB21_P4_01,2,QF,SUB-21 -87 kg,FEMALE,P4,ATHF0049,ATHF0048,1,BESTOF3,F_SUB21_P4_03,RED
F_SUB21_P4_02,2,QF,SUB-21 -87 kg,FEMALE,P4,ATHF0047,ATHF0050,1,BESTOF3,F_SUB21_P4_04,BLUE
F_SUB21_P4_03,2,SF,SUB-21 -87 kg,FEMALE,P4,ATHF0051,,1,BESTOF3,F_SUB21_P4_05,BLUE
F_SUB21_P4_04,2,SF,SUB-21 -87 kg,FEMALE,P4,,ATHF0052,1,BESTOF3,F_SUB21_P4_05,RED
F_SUB21_P4_05,2,F,SUB-21 -87 kg,FEMALE,P4,,,1,BESTOF3,,
F_SUB21_P5_01,1,SF,SUB-21 +87 kg,FEMALE,P5,ATHF0055,ATHF0053,1,BESTOF3,F_SUB21_P5_02,RED
F_SUB21_P5_02,1,F,SUB-21 +87 kg,FEMALE,P5,ATHF0054,,1,BESTOF3,,
F_SUB21_P6_01,3,QF,SUB-21 -49 kg,FEMALE,P6,ATHF0060,ATHF0058,1,BESTOF3,F_SUB21_P6_02,RED
F_SUB21_P6_02,3,SF,SUB-21 -49 kg,FEMALE,P6,ATHF0059,,1,BESTOF3,F_SUB21_P6_04,BLUE
F_SUB21_P6_03,3,SF,SUB-21 -49 kg,FEMALE,P6,ATHF0056,ATHF0057,1,BESTOF3,F_SUB21_P6_04,RED
F_SUB21_P6_04,3,F,SUB-21 -49 kg,FEMALE,P6,,,1,BESTOF3,,
F_SUB21_P8_01,3,SF,SUB-21 -53 kg,FEMALE,P8,ATHF0063,ATHF0061,1,BESTOF3,F_SUB21_P8_02,RED
F_SUB21_P8_02,3,F,SUB-21 -53 kg,FEMALE,P8,ATHF0062,,1,BESTOF3,,
F_SUB21_P10_01,3,SF,SUB-21 -57 kg,FEMALE,P10,ATHF0066,ATHF0064,1,BESTOF3,F_SUB21_P10_02,RED
F_SUB21_P10_02,3,F,SUB-21 -57 kg,FEMALE,P10,ATHF0065,,1,BESTOF3,,
